2018-02-09 13:24:49,423 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Hi:Hi:0.0.1-SNAPSHOT @ C:\myreport\Hi\pom.xml.
2018-02-09 13:24:52,112 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:24:52,116 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-09 13:24:52,120 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:24:52,122 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-09 13:24:52,158 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Hi/src
2018-02-09 13:24:52,159 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Hi/src/test/java because it overlaps with /Hi/src
2018-02-09 13:24:52,392 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-02-09 13:24:54,391 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Hi:Hi:0.0.1-SNAPSHOT @ C:\myreport\Hi\pom.xml.
2018-02-09 13:24:55,257 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:24:55,260 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-09 13:24:55,263 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:24:55,265 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-09 13:24:56,168 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Hi/src
2018-02-09 13:24:56,169 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Hi/src/test/java because it overlaps with /Hi/src
2018-02-09 13:24:56,294 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2018-02-09 13:24:57,194 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:24:57,197 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-09 13:24:57,198 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:24:57,201 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-09 13:25:06,046 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Hi:Hi:0.0.1-SNAPSHOT @ C:\myreport\Hi\pom.xml.
